week_sort,value,type,Season,Age Group
År 2 uge 04,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 04,4.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 04,4.0,cases,2022/2023,01. 0-5 måneder
År 2 uge 05,79.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 05,68.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 05,134.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 05,97.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 05,99.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 05,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 05,2.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 05,5.0,cases,2022/2023,01. 0-5 måneder
År 2 uge 06,66.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 06,66.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 06,127.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 06,104.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 06,86.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 06,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 06,1.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 06,11.0,cases,2022/2023,01. 0-5 måneder
År 2 uge 07,75.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 07,67.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 07,112.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 07,82.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 07,87.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 07,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 07,3.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 07,6.0,cases,2022/2023,01. 0-5 måneder
År 2 uge 08,67.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 08,63.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 08,132.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 08,105.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 08,82.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 08,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 08,1.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 08,5.0,cases,2022/2023,01. 0-5 måneder
År 2 uge 09,45.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 09,35.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 09,79.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 09,77.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 09,52.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 09,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 09,1.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 10,49.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 10,49.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 10,87.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 10,72.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 10,68.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 10,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 10,2.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 11,46.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 11,33.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 11,67.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 11,82.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 11,50.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 11,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 11,0.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 12,41.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 12,11.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 12,62.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 12,53.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 12,44.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 12,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 12,0.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 13,31.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 13,14.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 13,46.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 13,51.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 13,21.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 13,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 13,0.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 14,16.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 14,6.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 14,43.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 14,36.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 14,2.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 14,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 14,2.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 15,19.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 15,7.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 15,20.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 15,25.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 15,0.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 15,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 15,2.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 16,16.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 16,4.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 16,18.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 16,13.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 16,1.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 16,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 16,5.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 17,5.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 17,2.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 17,9.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 17,13.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 17,0.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 17,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 17,3.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 18,9.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 18,0.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 18,4.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 18,9.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 18,0.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 18,2.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 18,1.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 19,4.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 19,1.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 19,1.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 19,5.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 19,0.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 19,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 19,2.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 20,4.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 20,2.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 20,2.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 20,5.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 20,0.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 20,1.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 20,1.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 21,15.0,tested,2016/2017,01. 0-5 måneder
År 1 uge 21,19.0,tested,2017/2018,01. 0-5 måneder
År 1 uge 21,23.0,tested,2018/2019,01. 0-5 måneder
År 1 uge 21,48.0,tested,2019/2020,01. 0-5 måneder
År 1 uge 21,10.0,tested,2020/2021,01. 0-5 måneder
År 1 uge 21,35.0,tested,2021/2022,01. 0-5 måneder
År 1 uge 21,81.0,tested,2022/2023,01. 0-5 måneder
År 1 uge 22,10.0,tested,2016/2017,01. 0-5 måneder
År 1 uge 22,16.0,tested,2017/2018,01. 0-5 måneder
År 1 uge 22,19.0,tested,2018/2019,01. 0-5 måneder
År 1 uge 22,31.0,tested,2019/2020,01. 0-5 måneder
År 1 uge 22,20.0,tested,2020/2021,01. 0-5 måneder
År 1 uge 22,55.0,tested,2021/2022,01. 0-5 måneder
År 1 uge 22,82.0,tested,2022/2023,01. 0-5 måneder
År 1 uge 23,13.0,tested,2016/2017,01. 0-5 måneder
År 1 uge 23,14.0,tested,2017/2018,01. 0-5 måneder
År 1 uge 23,22.0,tested,2018/2019,01. 0-5 måneder
År 1 uge 23,22.0,tested,2019/2020,01. 0-5 måneder
År 1 uge 23,11.0,tested,2020/2021,01. 0-5 måneder
År 1 uge 23,42.0,tested,2021/2022,01. 0-5 måneder
År 1 uge 23,102.0,tested,2022/2023,01. 0-5 måneder
År 1 uge 24,18.0,tested,2016/2017,01. 0-5 måneder
År 1 uge 24,5.0,tested,2017/2018,01. 0-5 måneder
År 1 uge 24,18.0,tested,2018/2019,01. 0-5 måneder
År 1 uge 24,23.0,tested,2019/2020,01. 0-5 måneder
År 1 uge 24,14.0,tested,2020/2021,01. 0-5 måneder
År 1 uge 24,30.0,tested,2021/2022,01. 0-5 måneder
År 1 uge 24,115.0,tested,2022/2023,01. 0-5 måneder
År 1 uge 25,14.0,tested,2016/2017,01. 0-5 måneder
År 1 uge 25,8.0,tested,2017/2018,01. 0-5 måneder
År 1 uge 25,21.0,tested,2018/2019,01. 0-5 måneder
År 1 uge 25,21.0,tested,2019/2020,01. 0-5 måneder
År 1 uge 25,12.0,tested,2020/2021,01. 0-5 måneder
År 1 uge 25,39.0,tested,2021/2022,01. 0-5 måneder
